fdc_id,data_type,description,Protein (g),Total Fat (g),Carbohydrate (g),Energy (kcal),Fiber (g),Calcium (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Sugars (g)
321358,foundation_food,"Hummus, commercial",7.35,17.1,14.9,229.0,5.4,41.0,71.1,289.0,438.0,0.0
321359,foundation_food,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",3.35,1.9,4.91,50.0,0.0,126.0,12.0,159.0,39.0,0.0
321360,foundation_food,"Tomatoes, grape, raw",0.83,0.63,5.51,27.0,2.1,11.0,11.9,260.0,6.0,0.0
321505,foundation_food,"Salt, table, iodized",0.0,0.0,0.0,0.0,0.0,50.0,0.0,2.0,38700.0,0.0
321611,foundation_food,"Beans, snap, green, canned, regular pack, drained solids",1.04,0.39,4.11,21.0,0.0,36.0,12.7,97.0,282.0,0.0
321900,foundation_food,"Broccoli, raw",2.57,0.34,6.29,32.0,2.4,46.0,21.0,303.0,36.0,0.0
322228,foundation_food,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",3.38,0.95,5.19,43.0,0.0,126.0,12.0,159.0,39.0,0.0
322559,foundation_food,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",3.43,0.08,4.89,34.0,0.0,132.0,12.5,167.0,41.0,0.0
322892,foundation_food,"Milk, whole, 3.25% milkfat, with added vitamin D",3.28,3.2,4.67,60.0,0.0,123.0,11.9,150.0,38.0,0.0
323121,foundation_food,"Frankfurter, beef, unheated",11.7,28.0,2.89,314.0,0.0,15.0,11.5,343.0,872.0,0.0
323294,foundation_food,"Nuts, almonds, dry roasted, with salt added",20.4,57.8,16.2,620.0,11.0,273.0,258.0,684.0,256.0,0.0
323444,foundation_food,"Cheese, ricotta, whole milk",7.81,11.0,6.86,157.0,0.0,224.0,19.7,230.0,105.0,0.0
323505,foundation_food,"Kale, raw",2.92,1.49,4.42,35.0,4.1,254.0,32.7,348.0,53.0,0.0
323604,foundation_food,"Egg, whole, raw, frozen, pasteurized",12.3,10.3,0.91,150.0,0.0,55.0,11.2,117.0,121.0,0.0
323697,foundation_food,"Egg, white, raw, frozen, pasteurized",10.1,0.16,0.74,48.0,0.0,9.0,10.6,130.0,144.0,0.0
323793,foundation_food,"Egg, white, dried",79.9,0.65,6.02,376.0,0.0,104.0,87.6,959.0,1250.0,0.0
324038,foundation_food,"Sauce, salsa, ready-to-serve",1.44,0.19,6.74,29.0,1.8,28.0,15.2,258.0,656.0,0.0
324157,foundation_food,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",13.3,28.7,3.37,328.0,0.0,35.0,19.7,263.0,866.0,0.0
324317,foundation_food,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",4.52,14.4,36.3,288.0,2.4,28.0,20.4,135.0,374.0,0.0
324653,foundation_food,"Pickles, cucumber, dill or kosher dill",0.48,0.43,1.99,12.0,1.0,54.0,7.1,112.0,808.0,0.0
324860,foundation_food,"Peanut butter, smooth style, with salt",22.5,51.1,22.3,597.0,4.8,49.0,169.0,564.0,429.0,0.0
325036,foundation_food,"Cheese, parmesan, grated",29.6,28.0,12.4,421.0,0.0,884.0,34.9,184.0,1750.0,0.0
325198,foundation_food,"Cheese, pasteurized process, American, vitamin D fortified",18.0,30.6,5.27,366.0,0.0,866.0,25.1,149.0,1660.0,0.0
325287,foundation_food,"Grapefruit juice, white, canned or bottled, unsweetened",0.55,0.7,7.59,37.0,0.2,16.0,9.6,141.0,1.0,0.0
325430,foundation_food,"Peaches, yellow, raw",0.91,0.27,10.1,42.0,1.5,4.0,8.0,122.0,13.0,0.0
325524,foundation_food,"Seeds, sunflower seed kernels, dry roasted, with salt added",21.0,56.1,17.1,612.0,10.3,78.0,358.0,689.0,532.0,0.0
325658,foundation_food,"Sausage, Italian, pork, mild, cooked, pan-fried",18.2,26.2,2.15,322.0,0.0,12.0,18.6,310.0,766.0,0.0
325871,foundation_food,"Bread, white, commercially prepared",9.43,3.59,49.2,270.0,2.3,211.0,26.9,117.0,477.0,0.0
325992,foundation_food,"Sausage, turkey, breakfast links, mild, raw",16.7,10.4,0.93,169.0,0.0,32.0,18.9,310.0,599.0,0.0
326135,foundation_food,"Cheese, swiss",27.0,31.0,1.44,393.0,0.0,890.0,33.4,71.0,185.0,0.0
326196,foundation_food,"Kale, frozen, cooked, boiled, drained, without salt",2.94,1.21,5.3,36.0,0.0,150.0,25.0,144.0,16.0,0.0
326458,foundation_food,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",0.81,0.47,7.92,37.0,3.2,33.0,10.8,210.0,66.0,0.0
326698,foundation_food,"Mustard, prepared, yellow",4.25,3.38,5.3,61.0,4.3,63.0,47.7,150.0,1100.0,0.0
326905,foundation_food,"Figs, dried, uncooked",3.3,0.92,63.9,249.0,9.8,162.0,67.6,680.0,10.0,0.0
327046,foundation_food,"Kiwifruit, green, raw",1.06,0.44,14.0,58.0,3.0,35.0,15.7,198.0,5.0,0.0
327198,foundation_food,"Melons, cantaloupe, raw",0.82,0.18,8.16,34.0,0.8,9.0,13.0,157.0,30.0,0.0
327357,foundation_food,"Nectarines, raw",1.06,0.28,9.18,39.0,1.5,2.0,8.8,131.0,13.0,0.0
327501,foundation_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",0.91,0.15,11.8,47.0,2.0,43.0,10.7,166.0,9.0,0.0
327699,foundation_food,"Strawberries, raw",0.64,0.22,7.63,31.0,1.8,12.0,11.8,89.0,10.0,0.0
327923,foundation_food,"Lettuce, cos or romaine, raw",1.24,0.26,3.24,17.0,1.8,35.0,13.7,253.0,0.0,0.0
328637,foundation_food,"Cheese, cheddar",23.3,34.0,2.44,408.0,0.0,707.0,26.8,77.0,654.0,0.0
328841,foundation_food,"Cheese, cottage, lowfat, 2% milkfat",11.0,2.3,4.31,84.0,0.0,103.0,8.9,120.0,321.0,0.0
329370,foundation_food,"Cheese, mozzarella, low moisture, part-skim",23.7,20.4,4.44,298.0,0.0,693.0,27.2,116.0,699.0,0.0
329490,foundation_food,"Egg, whole, dried",48.1,39.8,1.87,575.0,0.0,220.0,44.6,468.0,485.0,0.0
329596,foundation_food,"Egg, yolk, raw, frozen, pasteurized",15.6,25.1,0.59,296.0,0.0,119.0,11.2,102.0,66.0,0.0
329716,foundation_food,"Egg, yolk, dried",34.2,55.5,1.07,654.0,0.0,270.0,26.0,231.0,149.0,0.0
329830,foundation_food,"Cheese, dry white, queso seco",24.5,24.3,2.07,326.0,0.0,661.0,26.7,116.0,1810.0,0.0
330137,foundation_food,"Yogurt, Greek, plain, nonfat",10.3,0.37,3.64,61.0,0.0,111.0,10.7,141.0,36.0,0.0
330415,foundation_food,"Yogurt, Greek, strawberry, nonfat",8.06,0.15,12.2,83.0,0.6,97.0,10.4,133.0,32.0,0.0
330458,foundation_food,"Oil, coconut",0.0,99.1,0.84,833.0,0.0,1.0,0.0,0.0,0.0,0.0
330869,foundation_food,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",27.1,11.6,0.0,220.0,0.0,31.0,29.1,304.0,90.0,0.0
331897,foundation_food,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",23.9,5.95,0.0,156.0,0.0,12.0,22.4,239.0,117.0,0.0
331960,foundation_food,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",32.1,3.24,0.0,166.0,0.0,6.0,32.0,343.0,47.0,0.0
332282,foundation_food,"Sauce, pasta, spaghetti/marinara, ready-to-serve",1.41,1.48,8.05,45.0,1.8,27.0,18.5,319.0,419.0,0.0
332397,foundation_food,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",16.7,3.73,0.27,106.0,0.0,5.0,18.8,425.0,1040.0,0.0
332597,foundation_food,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",0.38,0.16,15.1,57.0,3.1,8.0,5.7,87.0,7.0,0.0
332791,foundation_food,"Olives, green, Manzanilla, stuffed with pimiento",1.15,12.9,4.96,130.0,4.0,121.0,12.4,43.0,1620.0,0.0
332864,foundation_food,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",19.3,28.1,2.63,346.0,0.0,37.0,30.1,435.0,983.0,0.0
333008,foundation_food,"Cookies, oatmeal, soft, with raisins",5.79,14.3,69.6,430.0,3.3,29.0,32.4,245.0,314.0,0.0
333281,foundation_food,"Tomatoes, canned, red, ripe, diced",0.84,0.5,3.32,18.0,0.0,30.0,9.8,198.0,125.0,0.0
333374,foundation_food,"Fish, haddock, raw",16.3,0.45,0.0,74.0,0.0,11.0,21.1,286.0,213.0,0.0
333476,foundation_food,"Fish, pollock, raw",12.3,0.41,0.0,56.0,0.0,15.0,16.1,160.0,333.0,0.0
334194,foundation_food,"Fish, tuna, light, canned in water, drained solids",19.0,0.94,0.08,90.0,0.0,18.0,22.7,176.0,219.0,0.0
334247,foundation_food,"Sugars, granulated",0.0,0.32,99.6,385.0,0.0,1.0,0.3,2.0,1.0,0.0
334462,foundation_food,"Restaurant, Chinese, sweet and sour pork",8.88,13.6,25.5,260.0,1.0,46.0,13.0,152.0,304.0,0.0
334536,foundation_food,"Restaurant, Chinese, fried rice, without meat",3.84,3.19,32.5,174.0,0.0,11.0,9.7,69.0,361.0,0.0
334628,foundation_food,"Restaurant, Latino, tamale, pork",7.38,9.04,15.8,174.0,2.4,75.0,26.2,152.0,473.0,0.0
334720,foundation_food,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",5.59,9.01,31.5,229.0,5.8,51.0,53.6,305.0,305.0,0.0
334849,foundation_food,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",22.8,6.39,0.0,155.0,0.0,15.0,11.3,282.0,45.0,0.0
334897,foundation_food,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",27.7,6.36,0.0,176.0,0.0,13.0,13.7,352.0,54.0,0.0
334898,foundation_food,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.4,2.48,0.0,122.0,0.0,13.0,11.4,312.0,50.0,0.0
334963,foundation_food,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.7,2.41,0.0,123.0,0.0,13.0,11.9,316.0,55.0,0.0
335061,foundation_food,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",27.3,11.4,0.0,219.0,0.0,19.0,20.0,283.0,67.0,0.0
335109,foundation_food,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",22.7,5.32,0.0,145.0,0.0,19.0,10.7,266.0,43.0,0.0
335240,foundation_food,"Bread, whole-wheat, commercially prepared",12.3,3.55,43.1,254.0,6.0,163.0,76.6,250.0,450.0,0.0
335245,foundation_food,"Beans, Dry, Dark Red Kidney (0% moisture)",25.9,1.31,0.0,0.0,4.3,98.0,164.0,1490.0,0.0,0.0
335306,foundation_food,"Beans, Dry, Pink (0% moisture)",23.4,1.2,0.0,0.0,4.1,137.0,164.0,1490.0,0.0,0.0
335419,foundation_food,"Beans, Dry, Navy (0% moisture)",24.1,1.51,0.0,0.0,4.3,229.0,180.0,1470.0,0.0,0.0
335422,foundation_food,"Beans, Dry, Light Red Kidney (0% moisture)",25.0,1.03,0.0,0.0,4.5,103.0,158.0,1540.0,0.0,0.0
335425,foundation_food,"Beans, Dry, Brown (0% moisture)",25.6,1.12,0.0,0.0,4.1,158.0,158.0,1580.0,0.0,0.0
335428,foundation_food,"Beans, Dry, Flor de Mayo (0% moisture)",23.3,0.86,0.0,0.0,4.0,180.0,182.0,1490.0,0.0,0.0
335433,foundation_food,"Beans, Dry, Carioca (0% moisture)",25.2,1.44,0.0,0.0,4.5,194.0,179.0,1390.0,0.0,0.0
335442,foundation_food,"Beans, Dry, Tan (0% moisture)",26.8,1.14,0.0,0.0,4.4,178.0,198.0,1620.0,0.0,0.0
335695,foundation_food,"Beans, Dry, Pinto (0% moisture)",23.7,1.24,0.0,0.0,4.1,161.0,170.0,1510.0,0.0,0.0
335774,foundation_food,"Beans, Dry, Small Red (0% moisture)",23.5,1.28,0.0,0.0,4.1,149.0,167.0,1520.0,0.0,0.0
335777,foundation_food,"Beans, Dry, Medium Red (0% moisture)",25.5,1.04,0.0,0.0,4.3,193.0,178.0,1490.0,0.0,0.0
335782,foundation_food,"Beans, Dry, Cranberry (0% moisture)",24.4,1.23,0.0,0.0,4.3,152.0,166.0,1340.0,0.0,0.0
335785,foundation_food,"Beans, Dry, Light Tan (0% moisture)",24.6,1.28,0.0,0.0,4.3,98.0,178.0,1230.0,0.0,0.0
335912,foundation_food,"Beans, Dry, Black (0% moisture)",24.4,1.45,0.0,0.0,4.2,191.0,180.0,1540.0,0.0,0.0
335927,foundation_food,"Beans, Dry, Small White (0% moisture)",24.5,1.32,0.0,0.0,4.3,236.0,182.0,1540.0,0.0,0.0
335930,foundation_food,"Beans, Dry, Red (0% moisture)",21.3,1.16,0.0,0.0,4.0,148.0,152.0,1540.0,0.0,0.0
336067,foundation_food,"Beans, Dry, Great Northern (0% moisture)",24.7,1.24,0.0,0.0,4.3,192.0,176.0,1520.0,0.0,0.0
746758,foundation_food,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",27.7,6.36,0.0,176.0,0.0,13.0,13.7,352.0,54.0,0.0
746759,foundation_food,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",22.8,6.39,0.0,155.0,0.0,15.0,11.3,282.0,45.0,0.0
746760,foundation_food,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.4,2.48,0.0,122.0,0.0,13.0,11.4,312.0,50.0,0.0
746761,foundation_food,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.7,2.41,0.0,123.0,0.0,13.0,11.9,316.0,55.0,0.0
746762,foundation_food,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",22.7,5.32,0.0,145.0,0.0,19.0,10.7,266.0,43.0,0.0
746763,foundation_food,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",27.3,11.4,0.0,219.0,0.0,19.0,20.0,283.0,67.0,0.0
746764,foundation_food,"Carrots, frozen, unprepared",0.81,0.47,7.92,37.0,3.2,33.0,10.8,210.0,66.0,0.0
746765,foundation_food,"Cheese, dry white, queso seco",24.5,24.3,2.07,326.0,0.0,661.0,26.7,116.0,1810.0,0.0
746766,foundation_food,"Cheese, ricotta, whole milk",7.81,11.0,6.86,157.0,0.0,224.0,19.7,230.0,105.0,0.0
746767,foundation_food,"Cheese, swiss",27.0,31.0,1.44,393.0,0.0,890.0,33.4,71.0,185.0,0.0
746768,foundation_food,"Figs, dried, uncooked",3.3,0.92,63.9,249.0,9.8,162.0,67.6,680.0,10.0,0.0
746769,foundation_food,"Lettuce, cos or romaine, raw",1.24,0.26,3.24,17.0,1.8,35.0,13.7,253.0,0.0,0.0
746770,foundation_food,"Melons, cantaloupe, raw",0.82,0.18,8.16,34.0,0.8,9.0,13.0,157.0,30.0,0.0
746771,foundation_food,"Oranges, raw, navels",0.91,0.15,11.8,47.0,2.0,43.0,10.7,166.0,9.0,0.0
746772,foundation_food,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",3.38,0.95,5.18,43.0,0.0,126.0,12.0,159.0,39.0,0.0
746773,foundation_food,"Pears, raw, bartlett",0.38,0.16,15.1,57.0,3.1,8.0,5.7,87.0,7.0,0.0
746774,foundation_food,"Restaurant, Chinese, sweet and sour pork",8.88,13.6,25.5,260.0,1.0,46.0,13.0,152.0,304.0,0.0
746775,foundation_food,"Salt, table, iodized",0.0,0.0,0.0,0.0,0.0,50.0,0.0,2.0,38700.0,0.0
746776,foundation_food,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",3.43,0.08,4.92,34.0,0.0,132.0,12.5,167.0,41.0,0.0
746777,foundation_food,"Sauce, salsa, ready-to-serve",1.44,0.19,6.74,29.0,1.8,28.0,15.2,258.0,656.0,0.0
746778,foundation_food,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",3.36,1.9,4.9,50.0,0.0,126.0,12.0,159.0,39.0,0.0
746779,foundation_food,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",13.3,28.7,3.37,328.0,0.0,35.0,19.7,263.0,866.0,0.0
746780,foundation_food,"Sausage, Italian, pork, mild, cooked, pan-fried",18.2,26.2,2.15,322.0,0.0,12.0,18.6,310.0,766.0,0.0
746781,foundation_food,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",19.3,28.1,2.63,346.0,0.0,37.0,30.1,435.0,983.0,0.0
746782,foundation_food,"Milk, whole, 3.25% milkfat, with added vitamin D",3.27,3.2,4.63,60.0,0.0,123.0,11.9,150.0,38.0,0.0
746783,foundation_food,"Sausage, turkey, breakfast links, mild, raw",16.7,10.4,0.93,169.0,0.0,32.0,18.9,310.0,599.0,0.0
746784,foundation_food,"Sugars, granulated",0.0,0.32,99.6,385.0,0.0,1.0,0.3,2.0,1.0,0.0
746785,foundation_food,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",27.1,11.6,0.0,220.0,0.0,31.0,29.1,304.0,90.0,0.0
746952,foundation_food,"Ham, sliced, restaurant",19.6,3.68,2.36,121.0,0.0,6.0,20.3,484.0,1030.0,0.0
747429,foundation_food,"Cheese, American, restaurant",17.5,31.1,6.35,375.0,0.0,508.0,25.0,173.0,1600.0,0.0
747430,foundation_food,"Beans, Dry, Medium Red (0% moisture)",25.5,1.04,0.0,0.0,4.3,193.0,178.0,1490.0,0.0,0.0
747431,foundation_food,"Beans, Dry, Red (0% moisture)",21.3,1.16,0.0,0.0,4.0,148.0,152.0,1540.0,0.0,0.0
747432,foundation_food,"Beans, Dry, Flor de Mayo (0% moisture)",23.3,0.86,0.0,0.0,4.0,180.0,182.0,1490.0,0.0,0.0
747433,foundation_food,"Beans, Dry, Brown (0% moisture)",25.6,1.12,0.0,0.0,4.1,158.0,158.0,1580.0,0.0,0.0
747434,foundation_food,"Beans, Dry, Tan (0% moisture)",26.8,1.14,0.0,0.0,4.4,178.0,198.0,1620.0,0.0,0.0
747435,foundation_food,"Beans, Dry, Light Tan (0% moisture)",24.6,1.28,0.0,0.0,4.3,98.0,178.0,1230.0,0.0,0.0
747436,foundation_food,"Beans, Dry, Carioca (0% moisture)",25.2,1.44,0.0,0.0,4.5,194.0,179.0,1390.0,0.0,0.0
747437,foundation_food,"Beans, Dry, Cranberry (0% moisture)",24.4,1.23,0.0,0.0,4.3,152.0,166.0,1340.0,0.0,0.0
747438,foundation_food,"Beans, Dry, Light Red Kidney (0% moisture)",25.0,1.03,0.0,0.0,4.5,103.0,158.0,1540.0,0.0,0.0
747439,foundation_food,"Beans, Dry, Pink (0% moisture)",23.4,1.2,0.0,0.0,4.1,137.0,164.0,1490.0,0.0,0.0
747440,foundation_food,"Beans, Dry, Dark Red Kidney (0% moisture)",25.9,1.31,0.0,0.0,4.3,98.0,164.0,1490.0,0.0,0.0
747441,foundation_food,"Beans, Dry, Navy (0% moisture)",24.1,1.51,0.0,0.0,4.3,229.0,180.0,1470.0,0.0,0.0
747442,foundation_food,"Beans, Dry, Small White (0% moisture)",24.5,1.32,0.0,0.0,4.3,236.0,182.0,1540.0,0.0,0.0
747443,foundation_food,"Beans, Dry, Small Red (0% moisture)",23.5,1.28,0.0,0.0,4.1,149.0,167.0,1520.0,0.0,0.0
747444,foundation_food,"Beans, Dry, Black (0% moisture)",24.4,1.45,0.0,0.0,4.2,191.0,180.0,1540.0,0.0,0.0
747445,foundation_food,"Beans, Dry, Pinto (0% moisture)",23.7,1.24,0.0,0.0,4.1,161.0,170.0,1510.0,0.0,0.0
747446,foundation_food,"Beans, Dry, Great Northern (0% moisture)",24.7,1.24,0.0,0.0,4.3,192.0,176.0,1520.0,0.0,0.0
